player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2021,RS,MIA,488,223,-1.828565637934783,2.715309365829297,.8867437278945145,-1.392876232487567,.1110127415197737,-1.281863490967793,-1.827012854351144,2.430905837522973,.6038929831718285,.3834329453278315,.3834329453278315,0,-1.95836785028978,1.340728135887895,-.6176397144018853,.4933089307013804
Jaylen Adams,adamsja01,2021,RS,MIL,3,1,-29.48662344499622,6.736929317066457,-22.74969412792976,-67.39042288952434,36.33038582623159,-31.06003706329275,-36.44185255681292,11.26602628248546,-25.17582627432746,-.0117042130486558,-.0117042130486558,0,-20.85426661777639,3.154725229430683,-17.69954138834571,2.341124077317856
Steven Adams,adamsst01,2021,RS,NOP,804,398,-.3740553470267574,2.722351901303265,2.348296554276508,4.234532816046541,-.6873903651894214,3.54714245085712,.2944506849076178,2.34362226563108,2.638072950538698,1.078082670708865,1.078082670708865,0,-.2361433432857362,2.382064606934687,2.145921263648951,-1.493557766806667
Bam Adebayo,adebaba01,2021,RS,MIA,727,346,.0029837454455269,3.405377310700762,3.408361056146289,-.7697539197528924,-1.715982666925721,-2.485736586678613,-.0893346808586464,2.799774962556239,2.710440281697593,.9638449694895299,.9638449694895299,0,-.8543781523933569,1.397338552238615,.5429603998452583,-.0086984003589546
LaMarcus Aldridge,aldrila01,2021,RS,SAS,695,331,-5.24279319698466,-1.175702448844498,-6.418495645829158,-1.701811664884614,-8.283943549239773,-9.985755214124387,-4.959303147084509,-2.247225033410662,-7.206528180495171,-.7470097716215963,-.7470097716215963,0,-4.542040099566536,-1.111377984027362,-5.653418083593897,-.7580101062672381
Nickeil Alexander-Walker,alexani01,2021,RS,NOP,451,221,.4322887820974367,.8920029857538715,1.324291767851308,.5717040035011531,-3.056361341056683,-2.48465733755553,.4792924962647434,.3684941564142198,.8477866526789632,.4069060141666495,.4069060141666495,0,.5831481309472136,.3923334555558579,.9754815865030715,.3119641240202927
Ty-Shon Alexander,alexaty01,2021,RS,PHO,15,8,-7.858492260390977,-11.39244418649324,-19.25093644688422,-30.02870832805385,-6.712585139763209,-36.74129346781706,-11.4390356809014,-11.15089889572828,-22.58993457662969,-.0786437064716194,-.0786437064716194,0,-10.04373915032456,-7.80744958242472,-17.85118873274928,-2.941719860521886
Grayson Allen,allengr01,2021,RS,MEM,557,258,.1243318632494664,-.0015561088675742,.1227757543818922,2.559265223122405,.8337493694321574,3.393014592554562,.5080908754101531,.0904643099661323,.5985551853762854,.4450285766784269,.4450285766784269,0,1.462834615216392,-.8093322210406126,.6535023941757798,.9843694710356392
Jarrett Allen,allenja01,2021,RS,BRK,690,320,1.175650037825975,3.563122389389847,4.738772427215823,4.724167800283496,2.147288268603388,6.871456068886884,1.68459277461837,3.521279565171515,5.205872339789885,1.304866085145295,1.304866085145295,0,3.128793811824182,2.403746017228783,5.532539829052965,.4680071253633959
Jarrett Allen,allenja01,2021,RS,CLE,66,31,-.7168231886868979,19.49598669094747,18.77916350226057,14.76577561405469,10.76087979374589,25.52665540780059,1.507477553691342,19.01377167965187,20.52124923334321,.3620456249954935,.3620456249954935,0,2.068344734896894,17.1356718541972,19.20401658909409,-1.66784808396386
Kyle Anderson,anderky01,2021,RS,MEM,826,386,-.2733215762490568,.9740900940607417,.7007685178116848,-.7496584782480542,5.378807987437919,4.629149509189865,-.3162686793894469,1.627456152532699,1.311187473143252,.8026722959116361,.8026722959116361,0,.6791160616598323,1.427482422835703,2.106598484495535,.3665277250005734
Giannis Antetokounmpo,antetgi01,2021,RS,MIL,904,413,4.52882070968744,1.732429048383654,6.261249758071094,2.408267600309869,-2.079601676126476,.3286659241833925,4.244151280211698,1.232888647166135,5.477039927377833,1.769408170784422,1.769408170784422,0,4.792683067959173,1.357822895613435,6.150505963572607,2.110833237324574
Kostas Antetokounmpo,antetko01,2021,RS,LAL,19,8,-12.66257826636637,3.357219617982058,-9.305358648384317,.7633025088133271,-3.118488202841071,-2.355185694027744,-11.38749460634043,2.374203994056874,-9.01329061228356,-.0268602193108513,-.0268602193108513,0,-5.27965080047615,-2.758638514389641,-8.038289314865793,5.17193815260037
Thanasis Antetokounmpo,antetth01,2021,RS,MIL,271,123,-3.232946920584663,2.748334699296728,-.4846122212879349,-2.306064234935248,-1.59584367855919,-3.901907913494438,-3.284101795162836,2.191793915746104,-1.092307879416732,.1046135960772056,.1046135960772056,0,-3.341046880415924,1.182050193711815,-2.158996686704109,.5744909623052278
Carmelo Anthony,anthoca01,2021,RS,POR,682,324,-1.267467205318347,-1.754311918588045,-3.021779123906392,-9.7814370391474,-6.91762699824552,-16.69906403739292,-2.584890225274005,-2.537739283496168,-5.122629508770173,-.3874143078750747,-.3874143078750747,0,-3.565932390093399,-2.193406740022357,-5.759339130115757,-1.246691326977752
Cole Anthony,anthoco01,2021,RS,ORL,773,368,-3.03135015503201,-2.770829145495539,-5.802179300527548,-2.377007962231789,4.725360898702265,2.348352936470476,-2.995711806526467,-1.784218980425312,-4.77993078695178,-.3779362482865533,-.3779362482865533,0,-3.084641729969266,-2.89494676424403,-5.979588494213296,-.8540605204119145
OG Anunoby,anunoog01,2021,RS,TOR,1028,490,-.7861993870479762,.9405917033669368,.1543923163189606,-.5815707756768568,1.399303053646256,.8177322779693988,-.8081738770946361,1.05915262745514,.2509787503605041,.7522311300418218,.7522311300418218,0,-.7443932313108447,1.749203926355935,1.00481069504509,.2709426353464399
Ryan Arcidiacono,arcidry01,2021,RS,CHI,132,62,3.042728082111212,5.721846380451383,8.764574462562596,5.056915322521781,14.27902722496302,19.3359425474848,3.472542072059103,7.260409944067104,10.73295201612621,.4220141184866476,.4220141184866476,0,2.487106337203176,6.473816091373076,8.960922428576252,-1.072606216625066
D.J. Augustin,augusdj01,2021,RS,MIL,518,241,.2392518571337763,-3.268718789525833,-3.029466932392057,4.869792639653002,1.994256075505678,6.864048715158679,.8693010118310855,-2.675611365629622,-1.806310353798537,.1145297436641684,.1145297436641684,0,.8988628586791364,-3.948384415549193,-3.049521556870056,-1.322925916245438
Deni Avdija,avdijde01,2021,RS,WAS,568,255,.3931303851883672,-1.02869590245808,-.6355655172697132,6.39230401814688,-2.851040888783032,3.541263129363848,1.273401999214372,-1.287935099569907,-.0145331003555351,.3549214983758348,.3549214983758348,0,.626313371783933,-.6589855581912484,-.0326721864073154,-.2767719705048013
Deandre Ayton,aytonde01,2021,RS,PHO,828,402,-2.567555391055688,1.337128377934675,-1.230427013121013,-.7247671337243384,-13.97512822783849,-14.69989536156283,-2.424873807340416,-.8084649890298641,-3.23333879637028,-.0990333284802902,-.0990333284802902,0,-3.880094730450277,-.3675015835933569,-4.247596314043634,-.1025553704437518
Udoka Azubuike,azubuud01,2021,RS,UTA,68,32,-8.316471772340304,-7.466179199051425,-15.78265097139173,-22.09585885888118,-12.10540801721885,-34.20126687610002,-10.73551370175945,-8.518010629003262,-19.25352433076271,-.2680881848919116,-.2680881848919116,0,-8.060825032724688,-9.347296085159968,-17.40812111788465,-.5130364844505987
Dwayne Bacon,bacondw01,2021,RS,ORL,800,379,-3.921237985852087,.0202237842476745,-3.901014201604412,-4.444088778034079,-.2214565121450877,-4.665545290179167,-4.122227436936278,-.0070204659395827,-4.129247902875861,-.2665609966704574,-.2665609966704574,0,-4.505116400765092,-1.760891410285869,-6.266007811050961,-.0529339098775621
