player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Damyean Dotson,dotsoda01,2019,RS,NYK,4219,2004,-1.170193843,-1.74276765,-2.912961493,-1.084939662,1.064884394,-0.020055268,-1.152779761,-1.214911025,-2.367690786,0.389369618,0.389369618,0,-1.294236784,-1.523746761,-2.817983545,-0.396016759
Damyean Dotson,dotsoda01,2020,RS,NYK,1767,836,0.03825029173,-1.740036071,-1.701785779,-2.423977979,1.214201593,-1.209776386,-0.4101925725,-1.194055993,-1.604248565,0.4857205848,0.4857205848,0,-1.273754795,-2.109465415,-3.38322021,-0.6212747959
Damyean Dotson,dotsoda01,2021,RS,CLE,702,343,-0.9741165362,-1.055273623,-2.029390159,-3.159492619,3.784589262,0.6250966423,-1.295183939,-0.4207030134,-1.715886952,0.1798054634,0.1798054634,0,0.6206381822,-1.327182012,-0.7065438294,-0.6555714052
Daniel Gafford,gaffoda01,2020,RS,CHI,1296,609,-2.707404506,0.342417248,-2.364987258,-1.754989915,3.242591105,1.48760119,-2.62046295,0.9319494237,-1.688513526,0.3296226347,0.3296226347,0,-3.577072666,0.6744807978,-2.902591868,-0.05997725194
Daniel Gafford,gaffoda01,2021,RS,CHI,369,168,0.3550465973,1.026777892,1.381824489,2.853830812,9.831203565,12.68503438,0.7428046675,2.408352873,3.151157541,0.5057022816,0.5057022816,0,-0.1256333195,2.279162005,2.153528685,-0.02161715296
Daniel Hamilton,hamilda02,2018,RS,OKC,57,28,3.469565672,-9.106010058,-5.636444386,-13.75386501,0.954343964,-12.79952104,0.062884371,-7.573431315,-7.510546944,-0.067764722,-0.067764722,0,1.744279931,-7.54251228,-5.798232349,-0.353782694
Daniel Hamilton,hamilda02,2019,RS,ATL,445,204,-1.56526457,-0.000217912,-1.565482482,-4.194021643,3.358568416,-0.835453227,-2.172988524,0.76089805,-1.412090474,0.139853187,0.139853187,0,-1.994759224,-1.230716879,-3.225476103,0.440946794
Daniel Ochefu,ochefda01,2017,PO,WAS,11,5,-18.25832934,9.756066148,-8.502263196,-10.45733327,14.85303046,4.395697195,-17.7743178,11.4293991,-6.344918703,-0.010021327,0,-0.010021327,-9.988776733,8.183082065,-1.805694667,5.750460416
Daniel Ochefu,ochefda01,2017,RS,WAS,153,75,-5.72707629,-6.755670469,-12.48274676,-5.944123676,-4.672660671,-10.61678435,-6.139219571,-6.738930339,-12.87814991,-0.386070285,-0.386070285,0,-3.943621427,-4.894487628,-8.838109054,-0.375444873
Daniel Orton,ortonda01,2014,RS,PHI,532,251,-2.029750209,1.270499634,-0.759250575,-4.892414899,2.439747987,-2.452666913,-2.695548763,1.660319885,-1.035228878,0.21998077,0.21998077,0,-3.161335893,-0.438003308,-3.599339201,0.168963707
Daniel Oturu,oturuda01,2021,RS,LAC,78,38,3.957268281,-4.622193459,-0.6649251783,-3.937363162,20.09749479,16.16013163,2.919220506,-1.262706527,1.656513979,0.08367613184,0.08367613184,0,1.848232914,-4.234846121,-2.386613207,-2.096508412
Daniel Theis,theisda01,2018,RS,BOS,1912,936,-1.587355386,2.328948421,0.741593035,-1.938042534,0.9471003,-0.990942234,-1.749941678,2.070802777,0.320861099,1.472894456,1.472894456,0,-1.961311336,1.984572948,0.023261612,0.433813929
Daniel Theis,theisda01,2019,PO,BOS,94,42,-5.487811039,5.95429032,0.466479281,-5.296103084,3.154452848,-2.141650235,-5.794200564,5.630416577,-0.163783987,0.057856824,0,0.057856824,-2.681969534,2.647714476,-0.034255058,1.21829499
